"states","Appropriateness_of_Display","Automaticity","AvoidanceApproach","Certainty","Complexity","Concreteness","Contagiousness","Familiarity","Frequency","Human_Mind","Intentionality","Morality","Perceptibility","Rationality","Social_Impact","Valence","see.face","hear.tone","hear.other","touch","see.posture","see.other","smell","taste","none","Actionspecificity","Agedependency","Beginning_Abruptness","Competitiveness","Contextspecificity","Cooperation","Differentiated_Experience","Duration","Ending_Abruptness","Intermediacy","Introspective_Value","Learning","Predictability","Simultaneity","Social_Distance","Traitdiagnostic","Traitlikeness","Agency","Experience","High.Arousal","Low.Arousal","Body","Mind","Emotion","Reason","Positive","Negative","Shared","Unique","Social","Non.Social","Warmth","Competence"
"Affection",0.705508240982935,0.117139640313732,1.07615425444485,0.806076346098764,-0.0875173046913618,0.397178304091964,0.600002080864121,0.609669649026776,0.760600331574091,-0.28965008330389,0.461727603730827,0.798845297387314,0.807638018892206,-0.641655884686041,0.637290821065771,1.17558183003652,0.711538461538462,0.788461538461538,0.307692307692308,0.557692307692308,0.730769230769231,0.403846153846154,0.0576923076923077,0.0576923076923077,0,0.586256757389446,-0.158656478650298,-0.177628432517266,-0.367434805397343,0.203396688101334,0.684380114597338,0.116592063069379,0.795721097092062,-0.0725715305044728,0.122939915216607,0.375323145586114,-0.117239838665183,0.323167216525393,0.544765501737305,1.20234679794548,0.625804026786893,0.50793350854516,0.31933,0.78151,0.70992,0.32061,0.456,0.944,0.87903,0.20161,0.95918,0.034014,0.83969,0.23664,0.82927,0.34959,0.8705,0.17266
"Agitation",-0.913924351414965,0.235718008156524,-0.884108784593285,-0.424437286077643,-0.0267336764427019,0.219222299279199,0.526790574694445,-0.385100334611892,-0.114859950804652,-0.483332413140149,-0.755927106459845,-0.634406727442609,0.557753271130437,-0.501350863297317,0.275858355027225,-1.02492092128414,0.807692307692308,0.769230769230769,0.365384615384615,0.0961538461538462,0.711538461538462,0.346153846153846,0,0,0.0192307692307692,-0.278713653543432,-0.39299561929404,0.60359054981594,0.214179339498855,0.187984591810353,-0.40975712673528,0.0377089983813341,-0.512224043300766,0.138793451464923,0.37916594213407,-0.166295152060759,-0.509279461039489,-0.226618423344672,-0.0434151509805817,-0.489781077572313,0.213600968968099,-0.678857849707042,0.29412,0.78151,0.75735,0.19118,0.52,0.872,0.84298,0.22314,0.15385,0.83916,0.77941,0.26471,0.48214,0.6875,0.35115,0.20611
"Alarm",-0.11616032065848,0.363381697711807,-0.808421156441105,-0.107760279669928,-0.374779913912281,-0.0526105890352739,0.808213818453208,-0.347497747382394,-0.610363163952178,-0.786794535784637,-0.518540571154661,-0.269054688419241,0.505418605798831,0.0181952881919111,0.443974970201985,-0.601315857968469,0.826923076923077,0.730769230769231,0.307692307692308,0.115384615384615,0.634615384615385,0.326923076923077,0.0192307692307692,0.0192307692307692,0.0192307692307692,-0.304030699388732,-0.19973885607387,0.999753531348686,0.171324773932872,0.444557761388664,-0.28788044448874,0.0089031180235842,-1.02421170229364,0.967191877310225,0.413047079129636,0.123900335585038,-0.325642617544434,-0.0635759358716486,-0.174642069237863,-0.707447847971706,-0.459763616175055,-0.7795818395334,0.36134,0.76471,0.87407,0.14815,0.54962,0.85496,0.70968,0.41129,0.18841,0.76087,0.81752,0.24818,0.45794,0.66355,0.24031,0.34884
"Anticipation",0.538181886572084,0.19616702937892,0.615645876433579,-0.134731976856009,-0.0343531287177351,0.0359310913229174,0.395593927649247,0.42646078805416,0.467638076756845,0.140498351200935,0.132384487502904,0.299944542045378,-0.0880760816852042,-0.15975454001954,-0.131403161787839,0.475984921817442,0.788461538461538,0.557692307692308,0.25,0.0576923076923077,0.519230769230769,0.153846153846154,0,0,0.0769230769230769,-0.013010750337272,-0.186590054519541,-0.0776588566899653,0.713296972496707,0.383300587877112,0.197844232597706,0.13442793083038,0.398794128767985,0.466075430089911,0.422016638666899,0.30459243541771,0.0210137855225566,0.15190101075412,0.143112652170552,0.332521465382395,-0.406786793006056,-0.246301108820473,0.51261,0.66387,0.78626,0.20611,0.33065,0.94355,0.57018,0.51754,0.60902,0.32331,0.77099,0.27481,0.56604,0.60377,0.32331,0.40602
"Attention",0.86390530809431,-0.714954713015382,0.904974926905707,0.717176662604737,-0.0388328527460052,0.633908015548595,-0.0349127545906821,0.693323133765721,0.849757990138794,0.0723997142430029,0.866236279584677,0.564421957038243,0.324366935550612,0.685710705625118,0.254235543488928,0.655168264329471,0.846153846153846,0.365384615384615,0.25,0.0961538461538462,0.461538461538462,0.365384615384615,0,0,0.0192307692307692,0.123430019468333,0.30410351740984,0.444271609749949,0.743869396748468,0.232972983758669,0.758632995187214,-0.241811239256515,-0.327972442286918,0.531446365754705,-0.149242229692993,0.298926748171445,0.881926819479911,0.449751475015076,0.230235530057644,0.599987384346107,-0.216323527993771,0.254884868393273,0.64754,0.4918,0.77273,0.14394,0.29032,0.94355,0.28205,0.64957,0.75342,0.19178,0.83824,0.20588,0.62037,0.62037,0.22222,0.68889
"Awareness",0.843232137955515,-0.0974540980803633,0.777237483066773,0.795054901474027,-0.0678793786714687,0.16766962502526,0.088597874856842,0.703425399322384,0.660685780038638,0.0232453572819903,0.543439124990505,0.704224338021322,-0.354874410439597,0.789842504874457,0.327794867409966,0.787862427519115,0.653846153846154,0.384615384615385,0.173076923076923,0.115384615384615,0.480769230769231,0.230769230769231,0.0769230769230769,0.0192307692307692,0.211538461538462,0.136862911914007,0.0825551537270279,0.0555768903697243,0.724094415580609,-0.0677126141145418,0.454996833745399,0.110675829886663,0.342646153400898,-0.0845140841227605,-0.240290674562475,0.349914450976427,0.608624794174388,0.465579020990598,0.315470933425672,0.216156850253825,-0.00778366691814659,0.711522655353714,0.625,0.58594,0.72308,0.23077,0.375,0.93333,0.38983,0.58475,0.85211,0.11972,0.77206,0.30882,0.58491,0.65094,0.25926,0.72593
"Awe",0.569159340214547,0.499955809666232,0.762787492283796,0.155691600169902,-0.312874392549776,-0.323361091205598,0.48669421564525,0.123479056828849,-0.201212527449425,0.483017500990722,-0.317655517303307,0.510996184673725,0.22209671526684,-0.503863183371757,0.0437294288189973,0.813402192921743,0.788461538461538,0.692307692307692,0.307692307692308,0.0384615384615385,0.365384615384615,0.25,0,0,0.0384615384615385,-0.152709589122121,-0.147568618830973,0.426548209584306,-0.225071268376301,0.236189035501,0.054702811291299,0.261211648402955,-0.777002923219102,0.32947256210767,0.00895515467568373,0.186829162175295,0.0240679979740832,-0.335888439598313,0.0286655703372083,0.0393052182307619,-0.300282392290817,-0.526507913723778,0.20968,0.83065,0.74074,0.25185,0.14286,0.88889,0.86667,0.175,0.87143,0.1,0.46809,0.59574,0.56481,0.60185,0.62406,0.16541
"Belief",0.589569361608459,-0.321627998520772,0.635006813195511,0.263551497563701,0.335248423087708,0.193806726245287,0.461792020035025,0.47395163574691,0.775849841306576,0.662281265796631,0.694295725153509,0.726561404125554,-0.933212186350091,0.214875665961417,0.418231534535273,0.598791062202672,0.384615384615385,0.384615384615385,0.326923076923077,0.0192307692307692,0.211538461538462,0.153846153846154,0.0192307692307692,0,0.288461538461538,0.0969997846365812,-0.0267840298393554,-0.391363664864679,0.239869602819639,0.115282938319297,0.476084089531668,0.33474760298957,1.26302346267566,-0.174616282697413,-0.009811021632993,0.581223721025948,0.746106727178319,0.191383458427152,0.165900525882317,0.696706814382204,0.313259257429112,0.903608252908002,0.5431,0.51724,0.44444,0.3037,0.092308,0.96154,0.45833,0.625,0.78832,0.15328,0.31579,0.69925,0.53704,0.62963,0.39855,0.49275
"Cognition",0.67195097319363,0.0161488973662207,0.538482331203189,0.696135615175136,0.674595873635042,0.430652613276136,-0.283346520162814,0.0706804513721681,0.532940479864748,0.346462518863968,0.235127021543535,0.585544603996974,-0.877566278090699,0.918144064792869,-0.000502336111740327,0.712419083072716,0.423076923076923,0.326923076923077,0.230769230769231,0.0384615384615385,0.211538461538462,0.173076923076923,0,0,0.346153846153846,0.0862594821196654,0.302356731311505,-0.145279588446597,0.287914246163042,-0.247249510818244,0.282458440329155,0.25064058700155,0.43720742291212,-0.0774326862966216,-0.230654255049852,0.189031568239685,0.981517330616995,0.264365369284656,-0.0105739570155464,0.379843233086526,-0.0959958289350232,0.64156299636538,0.69048,0.34921,0.45802,0.26718,0.14179,0.90299,0.175,0.79167,0.64384,0.10959,0.51515,0.47727,0.30357,0.72321,0.16296,0.75556
"Consciousness",0.752750925992742,0.646843590481864,0.710366941719728,0.713071946541782,0.37362802810496,0.168767769094307,-0.366600557532385,0.422737224345945,0.866353729427565,0.278375926949845,0.0927017205216367,0.497217325599911,0.393895706713173,0.643205243369064,-0.0530383053219384,0.691084538506836,0.75,0.442307692307692,0.346153846153846,0.153846153846154,0.692307692307692,0.480769230769231,0.0576923076923077,0.0576923076923077,0.115384615384615,0.0733174354684365,-0.278993357128276,-0.093821553974656,0.326422215759984,-0.277121725424507,0.483587795955771,-0.106992738773239,0.661868458153542,-0.12881775233499,-0.0572392912735954,0.0471582254911732,0.500927816232604,0.431367215364176,0.368730467742522,0.381101847201477,-0.383164001417954,0.757952969313434,0.528,0.608,0.48062,0.36434,0.22951,0.95082,0.38525,0.62295,0.75,0.13636,0.58647,0.45865,0.44037,0.70642,0.28682,0.68217
